from,to,amount,gas_used,block_number,timestamp
0x89b1a823cf4985cabaadcc6367198178ac783961,0xafe0098dffa03a91bd9659b52a08fa8a9bbd0c6b,67.0084,48653,4829970,1676125617
0x895fedd6a5ec34313a567f79b977580504fc5510,0x5d27527dc9428f858e2b710bf01fc6008ceac106,163.8941,72856,4710630,1686282117
0xcb4b3db73ed40618ee643b6e9f14b254602341d9,0x3ce4d41d399fa17c46c54b766b7841f81c5ac1d5,66.2936,53325,4124710,1675345555
0x89c0e39f3b3be95c238912788687dbaebe7e6a2b,0x72fc38a5af0fde303d0696fef3dcc90b9254cbb5,186.7788,77155,4765742,1678320463
0xaf1d112ff01d232bd3a5f9bffdfe374c767de054,0x9f4a68d3b1c89ef33f6c6fb59611f7ad1809fdc2,54.9083,39131,3137108,1666238574
0x25f9ecf62e5c0e6407069a5d1ef735c959d960e4,0x12eb630ea3193781ed914e1f349c30df5f47db92,215.2896,41033,3631699,1621472420
0xb9ef740385e8a30789c3feda51a38fe6f68fa378,0xfa609c2440672e85c08ac80fbeeb5c608a65afed,15.9756,71019,3499337,1662820592
0x787e8f0e406cb71a22fd2023316f231d0311b14f,0x6e5d4a29833e51a83539a57461e803bcff409050,242.7725,22504,3853315,1696733645
0x311dedde5e0effc7b70dffdfff1e97dada5e262f,0x870c34e732a43e43e6a58dcbf14f4d9b823d4ca5,187.7444,105012,2426799,1614972279
0x804e0946ddb388581cc41f6b60962bb0095da122,0xbf9a7df82bf67ef02200ddb876d9f9d00ae1a849,39.6236,21425,4028673,1696593904
0x7345090996d68755ae294f6e8243bdeff05139e4,0x3f92555d98ccee1822565f8b4e0c8bf406ebb674,190.5144,87542,4827838,1614282218
0x8209c3b284784d7dd12a907f01badd9b55372cc2,0x4bc69a335d353dce4de09399b24079aed48f7865,152.2817,41032,2568308,1621682744
0x8a65c8565504a2bde31f9c09125f5b9d53b2b07e,0x7b3a132ad35b6138f2dd148bfac2e790e4869723,229.6315,99504,2359609,1665579548
0x06e7f607a9582631936e1f8833ca56622ce2f1fa,0x304e2e6dd8785778f314e02ba214fb74d7d4101b,232.2817,61306,2004335,1607774584
0x69e6ca9e0818fcd6c25a8bb3325aec02002d9fd1,0xc1e6720f94a8d73e77a94d16fb76f7dd6edff54c,236.7427,32226,4069842,1665228535
0x1cac222986ce6c0e9c0065d3c44360ba4dec17df,0x7f151165f7cd0d7417e4b5233b90cf721c34aa2f,191.482,37828,3767195,1663791320
0x9ede16fd45a94c5be23a6ab09651b7e26ce171c3,0x46d1fabda6a438cc14f9507a1410fb29bb64bc7c,66.3377,100507,2774769,1628427073
0x8a0e85901849b40a7f80399a00f7115193c0bdb2,0x57d5f9e9b02630c30848023300e88d491ff530ef,178.2659,73296,3817259,1687225156
0xa49b902517edf36c11cf51dbe15fde84d5696f4c,0xc13522200f9854cd50d4c4475fbe54d5fc3f076b,224.9136,80177,1507528,1633273328
0x628f099e97d64f0d2217c4a3d4e80d4709ab1be5,0x1a51e74e25825b4ff2d0110ced7a46e0405259cd,84.5876,98110,3323315,1630885476
0xebe808320931473e5ed488e582f93dedf8369a77,0x60906a751baad3a32c4f55442b681b369a72575b,1.897,113778,3647037,1607901903
0x6460c7b3f41fc18c916da41b51d71633ba652865,0x1c1677e4edf3b0e59b068c4d2f0f5e63c817d3da,226.3645,64309,1297197,1669008866
0x68450beaa2bc51a2a6249ffe69b31ead628e0996,0x7a3e54945a8316a591eb6b3c9a0348e0af7bd341,167.2775,49080,3261711,1617758595
0xca45363317fb20c899dc1b0eeaa0dd959c2ef723,0xd3ddae456004ed85639a39a9751192e80a967ed4,118.2205,82993,4386887,1654634663
0x52e7da4eaa7eec30f6379aa6396de01836beb2c5,0x27a214448f98df59f22565264f727d3ab662be9b,24.323,77498,2486031,1656851760
0xb49bfae673da15a82a13a0968543002ed50b16dd,0x015f17e2851ea392351b7f259e4cfd03dc443cef,215.9728,28100,3824295,1687705310
0x29dc0d2ddb450f2240aa4eccf467f87fdc9c4c9c,0x189c12ab4b24247f6ac9730dd0abd216cd4ee985,100.7151,65473,4357928,1614665841
0x6d28515bf27529843f14dc75cc7ee95a4783e3a1,0x53874b96b077e0e78a214eeaa65444d2efcb49f7,47.6332,79800,1587967,1656623995
0x4f355f667a0e426fc0bcf9ca1215c38649d52287,0x7a4cdff4a55c5f61451d7f8eef7c694418cf4dd1,115.7108,30880,2858625,1673863413
0x2999250c212f28f642b1389646fc6c24af5c41bd,0x14456921869887952c5d5d3ba26ab79d3465cad9,163.071,91855,4506553,1601980765
0x272496ce854ae588af0bce4712f593a466470cb7,0x67c0499313122ec75090d6647fbfb5e3f9e0580a,41.6611,84653,3018963,1628688676
0xafd77a81036cba3dc4adf2f7a6c2a4cbb5650bad,0x179337cc5b7dc9fb02c909c2ccf367aa93d66a37,41.2428,21282,2637547,1635594951
0xc95b4edb987161eb764a01ef94e524998e063b37,0x7cf001c1329e741d13f80aad20173d4148f47454,105.8096,116748,4285656,1674593961
0x24c00035b050bec633287c2babfbb9f4fe3c8a83,0x422e396e941ebd2ff9706960197985f6c0e1d19d,47.5555,49534,1245296,1677736262
0x8ee2ba41ef59b5773e5909451e0b8bad4e59a81b,0x18d2d2bceb1fcd8f95ed82792c4e5604f7e070ec,187.0191,28492,1210312,1678406989
0x12736c6b02381c3c50e41db3a69d7bb651a77d57,0x4411db7be552b487e3681e890ed14de9a9b24f7b,229.8548,90615,1660320,1607634247
0x4c191dca6cecfa1e55caa3cf178eea52728b13e7,0x2115622bfb8028a370b87a20e5d62c7129e94b45,212.8505,29981,3495758,1609121552
0x6752325944b18b3b593f117d9d49224f394af56d,0xb1333f3daa019ba39283bcb89d7a3d0a2449a9a5,30.0597,95668,2032702,1677701200
0xf73ef0650415656b51be39bd5d37cf5ce03f4033,0x0fd6166a6e5582e72df7cc69275d708be78820e3,154.8834,75948,3757222,1678339168
0xbc75274d1713e07df13b777c1d9067e7eb3dd885,0x6997726e03707bf08032b8b6da935cae80524bca,79.1608,55179,1856725,1689889098
0x890a3295fcf77e6eec5804d4a24fb60cedc29c2c,0x6886886165e1ad5f2f3538641948bda941f781dc,66.4771,38154,3817272,1686637649
0x82c314c3e24334b5b00ae48019b9280976ca62ca,0xcaa0b9ad891e38d188fd8bd9fdd1c529e327e78e,79.1127,119548,4924754,1609736572
0x02605b528db3667cd34d3ca2f95b463ffcdab3a5,0xcb09a5b69f4211858ad9e8b4bcda75e21111a941,155.3277,94792,1419351,1609832887
0x87e7ee3cd0c38e49060f3f092f689a094b692039,0x5d6a7c98063343815824f816f7cc34d65ba8c205,126.5206,38361,4914373,1646843172
0x1c90b1894c8825378d2799e62aaf31ec1ec971fd,0x6b2f8460e6e72dfda760f2f28eff4eaadcbda232,92.4448,41676,2837879,1672909480
0x8378425506b23a780e26e1668cec48febc7ee483,0x784790ffba7136cfb2dd8f6671dd7626a6c5f3e4,2.055,93692,2255685,1689038526
0x2c8a5adcfb8fbcb2e410bc38ee2e090d924bbdd1,0x397cde52c4f60f6a958148858ddd2ace64e13f9a,66.19,35029,4113921,1674252420
0x426f6114f634a76f7ffd2f6d93b7869dba76e5a8,0x7744aec6bda2173db0a545d0616d25a1eb494f78,70.5109,48607,4009883,1646020613
0x588d8da1cd0a84280a5b6cbbcd4d7ad0a430cf98,0x73791629d389c39ccb1702326396ada2cae2e336,126.4017,53914,4797256,1606818112
0x2692c060ccd2ee230336df628cc01b2fca836af7,0xbaa348e17c8540b7fd4429a0f94714278b89f37b,207.3541,26778,1014871,1644769200
0x378dd60fd7041f53fbefdc1c48481bda767c0fdb,0x72a683826cab4c2d6e115bf8d60e1b0518b90f91,40.4793,78912,3313915,1694713081
0xbc725f4d0b06c8fca60f903a5518d12430ae9bfe,0xb4ede22f85c3ea3f918b88d03e6c6f67bb30eeec,2.5165,30862,4963830,1692747083
0x3fc02bfc3d88cf03f2ba9b142ddf2bbbf0196e66,0x960cf466795efc2d47cd37ad01bb43bfaaae3618,9.1034,69393,3443222,1674158663
0x3f5977a1edb8bef49ca9beaeb595ccb754c4dfc7,0xbd67d86fa88fbe5013ea9845c1d241b9858448d3,31.9486,61404,2529459,1605354599
0x9d61d8affb48d532e9ce1503a0469750b6975661,0x5bab2deab323f7150e2542b5a31623770d2af212,170.5485,108416,1431147,1647469942
0xb2a3fcf38979898e695c88947e3373bf1c2e9b37,0xb281067386840635038615c1b04f261876e22f95,243.4619,119235,1648243,1631774346
0x4585d964bac1c841f4dc29456a9aecadcbafdf14,0x4bea6475fe8c5074de81f40040c76506b0fa7a20,220.3659,24248,1752293,1698860009
0x916c772df5178f32e5248821eb0ee0af6eac7666,0xb4eda52a25e60b26c57064fdcb9deb268429e69a,200.5786,117345,4400529,1633308443
0x74e0d9d41bc28815e813bc95a9af5bb6c2d8d52c,0x441b9badc07eee7d71c2d5405ad684b1c9ac4e54,196.8649,35168,2604496,1605197528
0x08986f5cecd3cb8882e4a34a16961e3124377291,0x615f8a4292e97936832f64da9aba249504198786,49.9733,81332,2466573,1640962024
0x63d2009128439a580980e26fb21c42b4453ba641,0x61b50a32a32fbfd54d9dd06fa53167a8557d87ec,6.0137,46313,2671287,1644058573
0x7a4ef8df3178c346343df6fa7e144d6020ef9b2e,0x1cc6b9954fa9b04893252f15d7baeb93855b54de,241.7256,57585,2472813,1686098221
0x4efbb8a016b8d28d261fe31be1404cf12f4010a2,0xaf460eeb41a18a6b58d25d3270997937488b474e,169.9116,91282,2388943,1603704481
0x3178f7f6550aa04d8472de1dc05052c5efa20340,0x7263a471943a1e5186be86b5e6d9de7fe0527479,44.7241,55795,1160462,1614549543
0xfac9eeb5cc03db0cff26e518f19ccfbf080689a1,0xbf7d5891678fb2ad1f4aff132095a1bd46dffebf,86.4872,62114,2830368,1681363974
0x52bdb97e587a35d5e54b01344168d41783120310,0x318928f7ed114c49673866613c1f476792c051de,96.3603,96574,1797248,1634188276
0x11b14b32ad7cc81bed32aa37f19c4cc872563199,0xc03d3fa475f6d5288a6141f11374fb70460cca4d,0.5227,91575,3880887,1696560259
0x55d7a0bac3541750ddfee75dc086edf14df1287a,0xa059b65ee0bc177e06741376deb9f0350279844b,107.8812,108062,4861992,1644318698
0x88f4fdc54c6558c79d2315ca8e1ab90ee3122e84,0x3538e6deb6006ed8c51b83d67acd8b9ab9a55b48,179.9666,60363,3127025,1641511484
0xb34dcc55773c64bee5959cc394d8f17b58164fb2,0x8ebc67d0aacbfb1184e4a1ee0d02da674a8c2152,100.6599,59752,3325374,1617084279
0x539f15de12898db6dc2f45ccc76c9df62e680686,0xb911e5de74691cfb8a5d72e8c25ed33db3d12878,166.2659,70695,3840877,1623357554
0xc55ca254045a09565a3eed7a0cb32d38b7062e52,0x82fd8d02d3d71092be56cf200c7233991807367e,101.5782,21053,2274543,1638508907
0x5bbf31e8361c204d30d2fc0c5135fb6686a45e95,0xbd6fc84464d587ba69efc55ae83dc385a1e9fd0e,196.4611,100516,3746034,1643251559
0xcd8fb7d3e6a5489f63f5157f9d157cfc855b510d,0xc2d02ddedba39a0e2c06fc3ab5241de5e1893513,110.5957,49010,3144019,1663509974
0x4911e162dfb3e8615b3d986fc8c1b81d54d26438,0x232f6cefd8cb0f706b7b7113036773b9194f305e,71.0182,108012,3654746,1683115778
0x92bec55dc3863f9cfe8f4838c76267241fc1cc94,0x274c25cc55d3df4987cf482cafddb84c55580669,204.624,119453,1985110,1690301106
0x876bc23d1d757cdda85f2eea9b8b09799339e4c8,0x6285a8499a093fbc6386017944085a81cd98f54b,201.6601,40313,1102447,1606202700
0x6b562e589d87eb9a96114ae222ee7c098743c16e,0x0eea73bc675d3012d3d602bd03cbf51a4b64eaee,152.8574,30545,2910153,1655625330
0xd32357b1e1c0d1b469e2eef5baa0ebd3d02c2e51,0x54cd234158d01195e420e7c8c7ab6a670c400f1f,179.6146,71328,3073568,1653640499
0x6b1ae2f14e0bc4b6851f3cadd2d8f7e875f8325e,0x3f08b752663cfdeebb13e5a47a75f24e797893d4,164.0489,21726,4744086,1614305904
0xbb342ad2fcc3c5e05166e46c78585fa194d7ff55,0x5fed38177c23ba0f8466ad8fde68cd6b10fa356e,44.0541,112214,3172472,1662350830
0x141c0cce8c1fc988b81172d773e682aa3f1b29d2,0xad274ba3de7f07c7973c7b40b0111ff53dd14b06,62.3747,36906,2914539,1617896471
0xcd6eb2ab0da3009fb1df51f7665294e06aeac8c4,0x7c875ee4d4a1b29b41ebb2678df1f645f28d090b,246.9743,99047,2330844,1659401199
0x474758d65891cf15c69941e71f4227e9bce5e9e6,0xbbc9126e73cbab0a6b343e139972b6f41aaff618,207.6592,92810,2870297,1621361812
0x0e42f55da7ade5673130e23232cec6094d34087c,0xc70017ba2b13689e6b1b29e287fafce9d366bdb3,64.872,53406,4522640,1685585469
0x798d841f1b1df7057ba222e70d40e19c4ffccaf9,0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,121.2008,52358,2151745,1659038700
0x1ff7339dbfeec2b06431bd38c107c81c7f82b089,0x7d4703f201afcce5e598a0caed57d6b54f14a90d,58.6999,65020,2340959,1672498004
0x2156b917277eaba953038a9211ae0ad0b77c05ee,0x3b2fb560f98ded4f953c15469a7c1dff60d9423e,37.7926,71205,3910636,1620509175
0x5dc9378cd4be85b41699e9cdf25cc669c0696880,0x1a6783a9b1a542380742ea5ec45eb741b12f6680,103.7755,64369,3275876,1662535301
0xb7145079931eaa65f643e64cd7d796d82bfad7e4,0x19516af3a3da657e14b92a9926379ed567dbc2d0,51.7879,76069,2633584,1678393811
0x06e88f3e69042f90cb0e754636836abf32fc7346,0xd33441a44da0c1dcee596abb7ebdcdba77c7ddbd,95.1572,21772,4954145,1647212267
0x821f93cc16c6e57235f9d28fdf7274561584b8fb,0xab050630eaa47d19eb0cc3d80ec7bb9a55029ecb,213.3766,75921,3257460,1698600914
0x97b57ad033d354557bde36bd9a418e80d8d962bc,0x60b3b5ce25e519bbae8fd42dc756fdb09a34ab4b,122.1085,56774,2828028,1665181765
0x0b11aef9505a6a2e79239583704478c921fb5e01,0xaa6b0f9dba58b44511ccfab5306bc1bcf1d417b0,84.0988,110016,4347651,1654266464
0x46cd1a388525fd653018e3f512c54e43d383f5de,0x024c344da7208e60356378a252dab771c34be111,229.8935,102560,3240276,1603619375
0xacc3fddf5485330ee7b8a84331e335d8a1972acf,0xf23a5c61e951b198adbc59e1a05a729c043d33d5,141.1416,24552,1352101,1686268397
0xbcbe94515630ce5c476a9eb0b1b1e945c4e03583,0x3a0356dc70790dc8e4fba51e63d69012cca6a662,216.7262,44819,1210909,1634917589
0xa6e9c86b62eca2881752c5fee733a0c937a1de6d,0x8f3f5da5225bb411f7d6ebf17f284f575881d061,52.9939,63840,2415579,1650885459
0x7a1b7f494d649aa49e793a436431282e3657a932,0xb9aee218fc64dcf888a98f165199b3cd625ee73a,63.1427,31735,2972609,1602601580
0x8a65c8565504a2bde31f9c09125f5b9d53b2b07e,0x14f4cd4a34c2fd3c9943fe31b5a6942a41bca9d2,249.977,66870,1940455,1687260863
0x1c7d89007e89ba7cec5290c23921d585d7adcefa,0x0ff24158220a14398f047a80a513617ddc4f5289,188.5829,53411,1836179,1602735359
0x413b8f766e297727f85b5815f09dbae262427cdd,0x68767aea0f6fc12e9d1adede49d8f050928f3031,31.6426,108747,1479784,1675694715
0x5f6fbf4ec3ac65ca87103234097988db5194fcc5,0xcd9a536b42243b9e3bff197efc842ad5773671b8,174.8963,69351,1703758,1681321540
0x311dedde5e0effc7b70dffdfff1e97dada5e262f,0x45fdd8e8ddbab6d537d106d18f0cfa118b0fe744,241.1837,35168,3427179,1603446499
0x88291b93c390dcce3253d59f16937a9ffc3f166e,0xd343317205a5111d6afb8343c996f1b3a7678290,169.3691,70192,2663689,1695967649
0x56795f39b40f445905ce7fe5afca7e53d8645e17,0x1f71c37367860ce5fe850ccf0480789b3e212c36,148.0653,103213,2018584,1613676961
0x832895ee43ecabada75e452025c6cf5050bcfeb8,0x33ce09eec053e1a4bf847046135a94a4ec5f7260,199.0772,95177,4282610,1605512205
0x984c45abc0355b59b4df6e193a76197515363f1c,0x7f2b4801c338a7b3cc322bfaf151afea8708e8e0,107.1517,69571,1289225,1667908907
0x9589850494fce6e767f42085a7f74bdeeec7bf42,0x038dbdd8d39c7ced6b4ff01eacd74efd35764f86,212.4089,85251,1442662,1658186525
0x9f5ed29f407b5a05fb74a29ccc0e45c8ebc1b8d4,0xcbb78d7c730c88f875d6b2ec4490575240779192,176.8564,78080,1738771,1698488338
0x684ede6645f1b71d77e0aeac519114ee8be3c410,0x764243fc871b1f0f0c7163f259fe977e6b999eeb,154.0165,91539,4249081,1664893936
0xcd7fd46a1fcdea7c93982bc9178b92faef0b6b61,0xbffceb7948c4808f71859350e387b8237d153e8b,206.4511,98656,2125732,1643258988
0x6ba6f2207e343923ba692e5cae646fb0f566db8d,0x23fdeb723e21a1efd518462c8cf46062c786bd23,69.8042,80087,2022837,1662372114
0xc7308d5a7220dc021ccf417445cb28cbb8fece66,0xa6d660e3de25193a76eecabc223638c20e7f90ab,84.1655,85789,4569154,1643622663
0x4e4da5c5c3e52d568bf401262b63a4dde9d823ef,0x26ba821222ee3b7b77f83cf1411dc5105bf2e499,53.1088,54862,2427484,1637535126
0xf9fe85e19bd533c69067c6e2ff02727d40a54100,0x791dd4a825b959917ac46204fdb14d461c677a3a,138.9922,88715,4976462,1625643159
0x239e7e70d34324650bd9deb33a61ff6406ec53e7,0x6a14da2de822a7dc2effc976c34f3b3b8fe36ca4,180.0467,85038,3328577,1632255732
0x1161acf9a61b8cd951f5364e897c586883a1fe76,0x2d301d74a8d303da6408cc2dfda319bbeb48c125,112.0988,23260,1390294,1639491631
0x6116360975a28f2db1d55117b2c4d0f3fb4fa885,0xb184ec1a78f66a16b189e3bc3fc994fb1b137437,172.9776,61135,3784850,1678055069
0xa25d01f9661e6b9604adf7986ca733a844d6e5f2,0x0c9d1b3ca852c67bbeabeeb51e9482a845d56868,138.4129,66056,2784692,1673871890
0x90d98088c404a62fb4bfead0d505b395031f2ed3,0x9a522ff08f8d303c484db2228e92f0acab5b0707,175.7435,56509,2286070,1633742830
0x65143ba82a515d9bac542c3b3ea493a0fd36fe30,0x33babc6cd1a6c0aee80622cc742f3e2d24463397,180.349,62359,1501448,1699707808
0x85234c92d4dddf239df9c76497a6516fdf546577,0x4ff83262dabf0484517e75631f4a7591efe7cf44,47.9661,117810,3030876,1637111151
0xedc0c49946b93aa296a11298480ae7913bb65222,0x6dcbe06db7d7e56941c92b5cd9ea8dad65d4417c,149.238,34176,4492296,1626054020
0x813b08888b900e6d577fc6fca780935cd794f4ba,0x63c1cf593b4b4d39472b6aee8e0b490f4c65b4c1,90.2842,60618,1059342,1695028632
0x81e4b65b9330c5693d38430111d7eb174615bdd6,0x35f173f8ee55bd5d3bd19169c8d02b096ec2669f,68.6504,28146,3320955,1639209916
0x35e69cd65886ec0f6f6bccfe53456226de8bd08c,0x2d4498a2cf71f5b0946f0ebcfff97ca9d0cd5d04,25.7367,22607,3407799,1638163378
0x0669398307efefb60030ff328a0cb6a3a840182c,0x16c26eb6051fe13273c634cb6df70a26befa9ec3,110.1732,45164,1215489,1633887075
0x14e9e1f1320ff0286c5e9b23fcfb70b711ce892e,0x30f3db5e280da4e3a33e821058ee956856fba385,205.5467,73521,3062534,1609943140
0xd582cec308d9320b2ec3dc2868b56549fc8ace5a,0x1595c383f52e474b28b5e6b4b8f72e92c1461474,38.0166,94772,4980921,1640780112
0x236d5ff21325fbb0c2d001777ef69f12818f300b,0x6d028f87def57dec055f741f7c4d01788adcb67c,29.701,75548,3543080,1680010790
0x62e9de0b3dd7d61ee6c0ee2e7b3ea82d7ae9c5fd,0x693d47204555361d4d51311f97102a1507559802,95.1565,79028,2247189,1678990506
0xbccf82e2fbf163ae7141a61535fec030a53aed1d,0x84de4eb6f08a305ae6f054b5e5e8750310007a13,142.2005,28894,3556977,1699333105
0x2a3e1595da39a0c96bfdf842ed01ab2348453bc1,0x5a8c5e9fba91bebbe2e88c5a0e60dd57d8e7cf1c,156.4162,55687,3770036,1610896797
0x43389dc12c3049e9ed97241411041de8547e28a5,0x6945962bee5125424ebde44edbfb5427e1256d6e,43.536,30838,1656545,1600359129
0xb3682ac80d4a86a410672cdc54e0748a141c7123,0xc71e5c88e745bf6790669a19c381d00a60824438,172.3738,82592,2221630,1604380847
0x658fc8ddbdb1b15e2232da94e28510b24bb7ea50,0x7e2ede4214ccbd1a76cdaab0a61ab47612324420,176.7683,113141,4605451,1660939053
0x1d8e46cb8f75b0b018d804c386f0b2d96aad6b02,0x6655dbabc2c9236478cc122bd26f7a3e40ba9238,230.9854,102927,3473756,1688742485
0x565bcbe7209daeb5b2448202c2c52a3a0524286d,0xbb342ad2fcc3c5e05166e46c78585fa194d7ff55,28.7826,50466,3716376,1619997018
0x74211c036dc27d4e74388fd259c00ccb12f28b3e,0x3ca7be4226761aa7e5fb505c88236b19ff77a0c2,17.9453,42747,4324525,1641286958
0xf8178b379ec4fd758230d28c55c89c064708dfe5,0xc57597f5fc469386ab8c53740b5cf6c4a78e8eec,230.306,78560,1521577,1662907576
0x844b105feaf250e367d2fbf65759a1d1ac0e6e5f,0xb09c02c6de4ccd3903d7b2547ef29ca9198b1f76,235.6748,86597,3264846,1666276072
0xc0fb002eb9877b683325b86bd77802c05863f5a2,0x214afaf6394a5f9ed3405d66a7d4a2d3167e81d4,149.5494,77626,4080858,1643261270
0x6df3a8354ffbd6aea4737f9892428b74b45f0b94,0x096de15136e1768402b8ef5544703fbffc88dbbb,22.9226,109381,4506264,1677201917
0xe977419ef28e71ed541ff6318cea9a6392709a48,0x0757cb756eab375d81359ef0a71f31b2cee2348a,249.8931,109117,4445290,1636173157
0xd42c3960d30f36c5a4e58d591180f58a34354641,0x0ff24158220a14398f047a80a513617ddc4f5289,190.8009,43962,2973423,1669654147
0xc30e2f1e83c7fde48cb8415b37191a3e2cc4b16a,0x7a19c3c33f2a800b2fa361fd24277cab0a1c1db1,45.4541,97720,2828234,1685199362
0x2ea8449b6561e6fd33671177cc6525f163326ac3,0x26297a33f5b3ecc9d85bb2ddc9cf50c55d945608,117.5556,74523,2397996,1643091709
0x2ce9b5490d5ddfa421280e10efbc2b7c15925dd1,0x44f14099b8b9c60515e83a0cb1a85e14982bb091,82.5179,111921,3078147,1638683937
0xafa0d0c01fddc4cadb312159a8a76e8a0ccb64ce,0xa05554fa940043c7ba191b16cbbe404c3f898f48,9.2706,32542,2319180,1633876400
0x8d5212a4f62ecc71c2710e63222f305c038dc217,0x31a9b3a25f297ba8ef54cecabbff5e777d506645,242.5492,73976,4627697,1669067939
0x001f357ca93307571d8cd93d09ce25a3660429af,0x8f950b4e6edacb14dd3c3258943acd7a922d9f47,115.5479,28104,1786778,1669583757
0x9f1f07ce2a6cf0c0f5a6e2a57fce098cb7e3a6ee,0x3bd49b98ffcc5f717eed0c9e78a276ae979de6e4,156.3896,27764,1853785,1635843681
0x9db99e73c52bcc353963022ac184a25e80f655bd,0x37affbb38caaff87042128ccf174d51620f8960c,231.9254,78424,4694538,1693717532
0x215e7e7edefda37eb39df17b8b91da9a60d85530,0x33f524dca40bd728ae248b00e8f527d46aa864fa,7.3145,103578,3553792,1632117961
0x43d254e96aff0471fd3067fb45ade5082ea15ef5,0x879ae65b185e1f2ce5853dc75763012dc00121e4,137.7547,93384,2711236,1612510327
0x628f099e97d64f0d2217c4a3d4e80d4709ab1be5,0x30cc942b8524c15754c49d7cff84b1506f14b22b,115.4158,36396,3716691,1620665654
0x3b99ecad31347cdd987e8683d8076b7bdbe4de4e,0x7fb5727f5177d6960ed43d2035668c68f803d621,127.2671,56838,2742692,1664759996
0x0ab4fc631d194bb135dc7a3f99580cf7df3eeae0,0x6b0c97234d8d450bb633a6bf96783996ee10ebe9,114.2509,39958,2608876,1625583290
0x4cf5db8f049d6ca78a8a41e1ab2c04b90bae5fc1,0x3a5d6df61ec0a90e2cad7af1fe3311cf1b8dc4da,216.0203,57208,4240834,1655692629
0x94b1f4ad7e7bf23952ad830a4539d0dd54eaaaae,0x4bde78ead56a30055d33bf84f52e420b0f6070ba,66.8664,21336,2186312,1697448913
0x821f070e9a251134540208d3033f020830632ab9,0xe886bfcfa373c17dbc07c7b73f1d368339ac5dfd,145.0229,107499,3053700,1619944139
0xc579fc04bb0646b0622c2a3072fefecc8d3f4129,0x88eb517c3ce20591aae29e42cc7d4012c8068228,121.1369,64573,3314909,1672937948
0xa63f26b13a28bc0ecf9094f4691c1e3bf72c4c67,0xc99b936bfd6229f9499cef744f34104de77ed33a,233.2198,45727,3925520,1632051937
0xcb89576d5e1627f4a0c64c2bb4d51798e92e8b8f,0xa82bcb3a2e5207e09aa95832a96ec12f57b7e186,58.4673,74841,1183070,1642704903
0x0c4762bc7b1af1dc9448a827f53861c118b712de,0xa77ab4fc9ace9033da14a03fa0a26b32b5326469,96.5811,107991,4323539,1687512508
0x41247b1f3361185d2866398a3ea9a4fcd96939ae,0x362f1d7c705f0d8f38786b4d6efd6ecc54199be6,241.2096,37547,3106761,1679212676
0x91572ef4de9dc2f77a9098795e8766382e21459d,0x2b0d173f7be7d9f8162b4d8056234f0e7dc563fe,218.5602,78711,1418221,1670591959
0xca6a2c2dc354578a9d49a7f16baf369b157275f4,0x04c6570d3aaf10230fd87f73424352a77ba2bf46,180.6387,74736,4652957,1687883261
