Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name
1651.78,745.44,270291.72,151,28,0,9,28,5e-05,51.0,5.739669999999999,0.0,46.8,1.063208,0.0,0.0,0.0,179,160.5444661,160.7107708,0.0,0.16630466,154.0,1260649.385,1251756.385,0.0,17.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,232269.4506,16808.65847,0.0,345729.2079,15845.01753,0.0,0.0,0.0,17.0,19.0
102.28,182.21,1115.58,2,5,0,5,1,0.073411,0.580957,0.399201,0.4991390000000001,1.4951450000000002,0.997142,0.0,0.0,0.0,7,1.99428449,1.99600649,0.0,0.0017219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,128.85,214252.32,1,4,0,4,1,0.000107,5.0,1.497527,5.97,5.97,5.97,0.0,0.0,0.0,5,5.97,5.99010713,0.0,0.02010713,1.0,5e-18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,4183.66,8370.82,1,2,0,2,1,0.004711,0.016,0.010355,0.02,0.02,0.02,0.0,0.0,0.0,3,0.02,0.02071068,0.0,0.00071068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,13.37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162.42,0.0,324.83,2,1,0,1,2,101.0,101.0,101.0,4.0,96.999016,50.499508,0.0,0.0,0.0,3,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.97,943.87,231504.72,227,227,0,4,2,0.090261,0.776586,0.263336,0.0898409999999999,0.776166,0.262916,0.0,0.0,0.0,454,59.68191428,59.77727528,0.0,0.095361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.6,1,1,0,1,1,0.40427,0.40427,0.40427,0.403799,0.403799,0.403799,0.0,0.0,0.0,2,0.403798764,0.4042704,0.0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8337.53,141737.98,0,17,1,6,0,0.0,4.469494999999998,2.167293,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,36.84397257,0.0,36.84397257,1.0,0.469113901,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.469114,0.469114,0.469114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160.42,1.02,322.88,2,2,0,2,2,9.704789,91.295211,50.5,10.578974,90.42,50.499487,0.0,0.0,0.0,4,100.9989738,101.0,0.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204048.12,90405.11,792954.57,3,2,0,1,3,0.03,0.1,0.065,0.0,0.095933,0.039644,0.0,0.0,0.0,5,0.118933248,0.13,0.0,0.011066752,3.0,2.69e-09,8.43e-10,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,1151.97,245368.8,0,213,1,6,0,0.0,1.60646,0.880444,0.0,0.0,0.0,0.0,0.0,0.0,214,0.0,187.5345765,0.0,187.5345765,3.0,4.680177999,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.265543,3.414635,1.560059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.76,0.0,335.28,3,2,0,2,3,25.803201,75.196799,50.5,0.017279,67.532793,33.666165,0.0,0.0,0.0,5,100.9984936,101.0,0.0,0.001506437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16276.87,390644.78,0,24,1,5,0,0.0,1.016043,0.8393950000000001,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,20.14548851,0.0,20.14548851,3.0,1.981164681,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.150702,1.0,0.660388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,167.47,134630.73,1,51,0,45,1,0.00109,6.529621,0.793074,52.444836,52.444836,52.444836,0.0,0.0,0.0,52,52.44483571,40.44678871,0.0,-11.998047,3.0,1500.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
26392.82,0.0,52785.63,2,1,0,1,1,0.443132,0.443132,0.443132,0.002928,0.437642,0.220285,0.0,0.0,0.0,3,0.44057042,0.44313242,0.0,0.002562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.23,1611.54,10200.9,3,6,0,2,1,0.00065,0.2,0.100108,0.099,0.3,0.199667,0.0,0.0,0.0,9,0.599,0.60065,0.0,0.00165,1.0,5000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.62,293.51,654.25,2,2,0,2,2,32.0,36.0,34.0,31.999496,35.999491,33.999493,0.0,0.0,0.0,4,67.99898656,68.0,0.0,0.001013439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1532.36,226788.97,0,148,1,3,0,0.0,2.19624,1.004051,0.0,0.0,0.0,0.0,0.0,0.0,149,0.0,148.5995797,0.0,148.5995797,2.0,3.358292501,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.945586,2.412706,1.6791459999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,825.9,1651.8,0,2,0,2,0,0.011415,0.0344779999999999,0.022946,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.04589263,0.0,0.04589263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9278.67,42480.23,1031264.95,15,21,0,4,6,0.005,39.77,17.976705,0.0,95.07958,25.166625,0.0,0.0,0.0,36,377.4993719,377.5108082,0.0,0.011436346,2.0,1.921531155,1.921531155,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.921531,1.921531,1.921531,1.921531,1.921531,1.921531,0.0,0.0,0.0,1.0,1.0
0.0,98742.3,592453.82,0,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1.0,0.075326298,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.075326,0.075326,0.075326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.68,0.0,65.03,3,1,0,1,3,101.0,101.0,101.0,1.29895,51.757135,33.666149,0.0,0.0,0.0,4,100.998446,101.0,0.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10710.34,685461.75,0,64,1,7,0,0.0,1.003554,0.693807,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,44.40364296,0.0,44.40364296,2.0,1.69128248,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6355,1.055783,0.845641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,19359.79,193597.92,0,10,1,4,0,0.0,186.0,37.06697,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,370.6697,0.0,370.6697,1.0,2.233929411,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2339290000000003,2.2339290000000003,2.2339290000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,47664.6,1,1,0,1,1,2.129898,2.129898,2.129898,2.129457,2.129457,2.129457,0.0,0.0,0.0,2,2.12945656,2.12989756,0.0,0.000441,1.0,0.160437298,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.160437,0.160437,0.160437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,974.25,1,1,0,1,1,0.16817,0.16817,0.16817,0.167729,0.167729,0.167729,0.0,0.0,0.0,2,0.16772891,0.16816991,0.0,0.000441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9972.12,7929.51,578739.03,31,34,0,17,10,0.9935,119.0,13.017899,0.0,192.0,20.128996,0.0,0.0,0.0,65,623.998866,442.6085757,0.0,-181.3902903,47.0,353781.3063,286314.0,0.0,20.0,19.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,270215.2,14151.25225,0.0,33450.0,13014.27273,0.0,0.0,0.0,3.0,21.0
0.0,0.0,5.95,1,1,0,1,1,3.059807,3.059807,3.059807,3.059335,3.059335,3.059335,0.0,0.0,0.0,2,3.059335204,3.05980684,0.0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60292.17,1,1,0,1,1,1.0,1.0,1.0,0.999559,0.999559,0.999559,0.0,0.0,0.0,2,0.999559,1.0,0.0,0.000441,1.0,0.075326298,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.075326,0.075326,0.075326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204306.92,0.0,408613.83,2,1,0,1,2,62.749,62.749,62.749,0.099234,62.649,31.374117,0.0,0.0,0.0,3,62.74823402,62.749,0.0,0.000765982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.19,2649.67,1000269.75,260,356,0,3,257,0.010027,0.988385,0.051956,0.001,0.987944,0.070698,0.0,0.0,0.0,616,18.38149636,18.49636825,0.0,0.114871888,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4445.14,1463.96,17727.3,3,3,0,2,2,0.3,1.5,0.716609,0.447245,1.0,0.7157479999999999,0.0,0.0,0.0,6,2.14724543,2.14982843,0.0,0.002583,2.0,3.799237535,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.7,2.099238,1.899619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,1.9,6488.87,1,4,0,4,1,0.1,5.0,1.3475,5.389139,5.389139,5.389139,0.0,0.0,0.0,5,5.389139,5.39,0.0,0.0008609999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5628.03,2312.27,996901.52,157,49,0,27,112,0.0,13.0527,1.519695,0.0,6.0,0.491112,0.0,0.0,0.0,206,77.10451,74.46505697,0.0,-2.639453026,157.0,702142.0085,308719.2629,0.0,26.0,83.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,250000.0,5802.826516,0.0,250000.0,8575.535081,0.0,0.0,0.0,32.0,102.0
4.03,13959.96,111711.95,8,8,0,3,1,0.0008349999999999,4.798947,0.625112,0.000415,4.798527,0.624692,0.0,0.0,0.0,16,4.99753861,5.00089861,0.0,0.00336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,705.85,41877.62,9993,7,0,1,9287,0.1,10.0,5.3,0.002454,5.096501,0.002972,0.0,0.0,0.0,10000,29.70360528,37.1,0.0,7.39639472,10.0,30529.76711,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,30000.0,3052.976711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
45.89,0.0,458881.72,9999,1,2404,1,809,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12404,0.0,100.0,0.0,100.0,10000.0,1383247.801,327417.9906,0.0,1816.0,1033.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,824257.0,329.580129,0.097,20000.0,56.422194,0.0,0.0,0.0,1.0,26.0
78.96,2493.66,1148393.85,364,449,0,3,3,0.001,1.001826,0.129078,0.060709,2.393532,0.15892,0.0,0.0,0.0,813,57.84688864,57.95616703,0.0,0.109278392,8.0,1553031431.0,100.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1553031328.0,221861633.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,7.0
0.0,0.0,3.2,1,1,0,1,1,19.99895,19.99895,19.99895,19.99811,19.99811,19.99811,0.0,0.0,0.0,2,19.99811,19.99895,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,40538.29,162156.4,4,4,0,3,1,0.429399,10.144463,6.546145,0.428702,10.144005,6.545641000000002,0.0,0.0,0.0,8,26.18256523,26.18458107,0.0,0.00201584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38428.41,1.07,115287.37,3,2,0,1,2,0.5,7.176639,3.83832,0.025374,7.539822,2.558399,0.0,0.0,0.0,5,7.67519644,7.67663924,0.0,0.0014428,1.0,0.56992784,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.569928,0.569928,0.569928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.91,0.0,68.72,3,1,0,1,3,101.0,101.0,101.0,0.11005,50.841333,33.666149,0.0,0.0,0.0,4,100.998446,101.0,0.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.65,47.15,1451.25,4,18,0,16,4,0.013821,9.994,1.261819,1.109295,7.3,5.677324,0.0,0.0,0.0,22,22.70929534,22.71273934,0.0,0.003444,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,9945.5,198909.9,0,20,1,8,0,0.0,11.999416,3.688443,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,73.76886204,0.0,73.76886204,2.0,1.998379844,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.359785,1.638595,0.99919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9676.37,46570.37,300586.47,7,5,0,2,7,0.06,10.918805,7.235761,0.0,10.105,5.157857,0.0,0.0,0.0,12,36.105,36.178805,0.0,0.073805,8.0,159750.7613,159300.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,99000.0,26625.12688,300.0,159000.0,79650.0,0.0,0.0,0.0,2.0,5.0
0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,162.75,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901.95,29.07,3862.05,2,2,0,2,2,0.001,0.083,0.042,0.023362,0.048523,0.035943,0.0,0.0,0.0,4,0.07188547,0.084,0.0,0.01211453,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.57,20898.0,836582.68,40,40,0,9,3,2.0,10000.0,1481.360831,1.9988,9999.99937,1481.360046,0.0,0.0,0.0,80,59254.40184,59254.433220000006,0.0,0.03138905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11749.22,211486.02,0,18,1,5,0,0.0,55.86,15.616712,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,281.1008247,0.0,281.1008247,1.0,14.92425115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.924251000000002,14.924251000000002,14.924251000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,23.58,15516.12,1,65,0,44,1,0.009138,6.198419,0.8202299999999999,53.414528,53.414528,53.414528,0.0,0.0,0.0,66,53.41452759,53.31494759,0.0,-0.09958,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,14723.23,1,1,0,1,1,2.0,2.0,2.0,1.999559,1.999559,1.999559,0.0,0.0,0.0,2,1.999559,2.0,0.0,0.000441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.23,0.0,63.68,3,1,0,1,3,101.0,101.0,101.0,1.0,87.18118,33.666149,0.0,0.0,0.0,4,100.998446,101.0,0.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.47,1136.78,14937.3,11,13,0,2,1,0.001,0.8182,0.397242,0.070794,0.8171930000000001,0.468498,0.0,0.0,0.0,24,5.15347306,5.164147232,0.0,0.010674172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.07,0.0,328.15,2,1,0,1,2,101.0,101.0,101.0,1.0,99.998492,50.499246,0.0,0.0,0.0,3,100.9984925,101.0,0.0,0.00150753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.15,0.0,330.3,2,2,0,2,2,49.770407,51.229593,50.5,0.025105,100.973869,50.499487,0.0,0.0,0.0,4,100.9989738,101.0,0.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15118.72,60474.87,0,4,1,2,0,0.0,5.519,2.96397,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,11.85588,0.0,11.85588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
